qini,qini_std,qini_q5,qini_q95,auuc,auuc_std,auuc_q5,auuc_q95,uplift@30,uplift@30_std,uplift@30_q5,uplift@30_q95,uplift@10,uplift@10_std,uplift@10_q5,uplift@10_q95,dataset,model,fit_time_s,n_test
-0.0020842740777879953,0.0016389889642596245,-0.004637693986296654,0.0007394631975330412,0.02471550926566124,0.003226247616112232,0.019460998475551605,0.02971205860376358,0.042134422808885574,0.009419453330338001,0.027296092361211777,0.05775807797908783,0.028132261708378792,0.019178997725248337,-0.003645606804639101,0.05604304000735283,hillstrom,CausalPFN,47.95,19200
6.820182534283958e-06,0.0010315330000594258,-0.0015520682791247964,0.0017899853410199285,0.027323389425873756,0.0022561154328286648,0.023651719093322754,0.031248193234205246,0.055151842534542084,0.0073855044320225716,0.04342660680413246,0.06729572266340256,0.05203006789088249,0.014140265062451363,0.025784814730286598,0.074712373316288,hillstrom,S-Learner,2.31,19200
7.493063458241522e-05,0.0009140647598542273,-0.0014007323188707232,0.0016102135414257646,0.02746468037366867,0.0017846499104052782,0.024532197043299675,0.030407095327973366,0.05564471334218979,0.006055182311683893,0.045532483607530594,0.0663897693157196,0.058855894953012466,0.010549786500632763,0.04034443199634552,0.07680352032184601,hillstrom,T-Learner,2.57,19200
0.00018684360838960856,0.0007915448513813317,-0.0011568464105948806,0.0014112682547420263,0.027697449550032616,0.0016015677247196436,0.024964991956949234,0.030326329171657562,0.05448713153600693,0.005555862560868263,0.04509156942367554,0.06405269354581833,0.06310830265283585,0.009438647888600826,0.0467846617102623,0.07850103825330734,hillstrom,X-Learner,6.49,19200
0.0005602825549431145,0.0008411447051912546,-0.000819801352918148,0.0020081275142729282,0.027651896700263023,0.0013886003289371729,0.025540731847286224,0.029799934476614,0.053226493299007416,0.0047262683510780334,0.045582469552755356,0.06128246337175369,0.0575898252427578,0.008371767587959766,0.04370668902993202,0.07234696298837662,hillstrom,DR-Learner,9.88,19200
0.0030012992210686207,0.0007540869410149753,0.0018776035867631435,0.004290094133466482,-0.012549242936074734,0.0014841026859357953,-0.01473016943782568,-0.010181155987083912,-0.029395394027233124,0.004675372038036585,-0.036578163504600525,-0.021055106073617935,-0.03121713548898697,0.0086706867441535,-0.04483706131577492,-0.01704949513077736,retailhero,CausalPFN,120.5,60012
0.0010239878902211785,0.0006209802231751382,6.88126019667834e-05,0.001988037023693323,-0.016243793070316315,0.0012675898615270853,-0.01829911768436432,-0.01410198025405407,-0.027100102975964546,0.003935042768716812,-0.03361518681049347,-0.019981639459729195,-0.03148293495178223,0.007112966384738684,-0.043965186923742294,-0.021318232640624046,retailhero,S-Learner,1.52,60012
-0.00123259995598346,0.0004955679760314524,-0.001993259647861123,-0.0003003243764396757,-0.015239289030432701,0.001078958623111248,-0.017025694251060486,-0.013577119447290897,-0.027387233451008797,0.0035451713483780622,-0.032529640942811966,-0.020916268229484558,-0.025546586140990257,0.006005053408443928,-0.03611523658037186,-0.01634358800947666,retailhero,T-Learner,2.78,60012
-0.0021144202910363674,0.0004472257278393954,-0.0028627440333366394,-0.0013795552076771855,-0.012731470167636871,0.000969410000834614,-0.014307646080851555,-0.011247114278376102,-0.02710828371345997,0.003273624461144209,-0.03206128627061844,-0.02186519466340542,-0.024160055443644524,0.005273208022117615,-0.03363461419939995,-0.016057180240750313,retailhero,X-Learner,7.06,60012
-0.0026170748751610518,0.00042290761484764516,-0.0034063744824379683,-0.0019489270634949207,-0.010188842192292213,0.0008658120059408247,-0.0115955900400877,-0.008792727254331112,-0.026128556579351425,0.003028213744983077,-0.030966322869062424,-0.021403972059488297,-0.02437950111925602,0.00475291209295392,-0.03263474628329277,-0.017254790291190147,retailhero,DR-Learner,10.84,60012
-0.003986189141869545,0.00040213647298514843,-0.0045951069332659245,-0.0033858097158372402,-0.008422385901212692,0.0008166178013198078,-0.009721341542899609,-0.007066721562296152,-0.02614682726562023,0.0028479774482548237,-0.03074551187455654,-0.021582165732979774,-0.023368477821350098,0.004513287916779518,-0.03111642599105835,-0.0165561456233263,lzd,CausalPFN,97.18,54501
-0.004323407541960478,0.0003883012104779482,-0.004963666200637817,-0.0037434848491102457,-0.006686352659016848,0.0007709191413596272,-0.007958194240927696,-0.005395333748310804,-0.025347823277115822,0.0027279271744191647,-0.030069848522543907,-0.02085641212761402,-0.026087570935487747,0.004250216297805309,-0.03352910652756691,-0.019748518243432045,lzd,S-Learner,1.71,54501
-0.003542305901646614,0.0003616908215917647,-0.00412653898820281,-0.0029764517676085234,-0.004483380820602179,0.0007345188059844077,-0.005677206441760063,-0.0031949318945407867,-0.02238255925476551,0.0025602153036743402,-0.02648325450718403,-0.018395941704511642,-0.021898651495575905,0.004052991978824139,-0.02846880629658699,-0.015153538435697556,lzd,T-Learner,3.05,54501
-0.0030587604269385338,0.0003454558318480849,-0.0036242634523659945,-0.0025286118034273386,-0.0029766166117042303,0.0006873824750073254,-0.00413473229855299,-0.001811835914850235,-0.019165700301527977,0.0023964743595570326,-0.023081311956048012,-0.01551267970353365,-0.019569924101233482,0.003987031057476997,-0.026176873594522476,-0.01285259984433651,lzd,X-Learner,7.79,54501
-0.0025689504109323025,0.00032774085411801934,-0.003107307944446802,-0.0020816640462726355,-0.001753541175276041,0.0006566207157447934,-0.0028373925015330315,-0.0006531659164465964,-0.01649930514395237,0.0023274393752217293,-0.020913150161504745,-0.012637228704988956,-0.020656244829297066,0.0038138574454933405,-0.02735002338886261,-0.014568999409675598,lzd,DR-Learner,11.81,54501
-0.0022812699899077415,0.000324535823892802,-0.0028215304482728243,-0.0017793956212699413,-0.0021617093589156866,0.0006562457419931889,-0.0032351105473935604,-0.0010515768080949783,-0.01620577648282051,0.002329751383513212,-0.020561309531331062,-0.012244992889463902,-0.020605573430657387,0.003833506489172578,-0.026950130239129066,-0.014356951229274273,orange,CausalPFN,30.3,3569
-0.0019319754792377353,0.00032200716668739915,-0.0024784898851066828,-0.0014106730232015252,-0.002495075110346079,0.0006526184151880443,-0.0035598669201135635,-0.0014275555731728673,-0.01629289612174034,0.0023209613282233477,-0.020361624658107758,-0.012424473650753498,-0.020399130880832672,0.0037936510052531958,-0.02639102190732956,-0.014161315746605396,orange,S-Learner,1.95,3569
-0.001838486990891397,0.00032618248951621354,-0.0024061426520347595,-0.0013316672993823886,-0.003060988150537014,0.0006515189306810498,-0.00411130441352725,-0.0019928626716136932,-0.01751035638153553,0.0023081174585968256,-0.021614911034703255,-0.013809321448206902,-0.02104802057147026,0.0038239536806941032,-0.02731740102171898,-0.014801793731749058,orange,T-Learner,3.58,3569
-0.0017914068885147572,0.00032379626645706594,-0.0023461920209228992,-0.0013081252109259367,-0.003659863956272602,0.0006521568866446614,-0.004771212115883827,-0.0025874576531350613,-0.018489528447389603,0.0022871571127325296,-0.02244308777153492,-0.014615125022828579,-0.021384522318840027,0.0037748231552541256,-0.02751348726451397,-0.014955814927816391,orange,X-Learner,9.22,3569
-0.001959552988409996,0.00032267000642605126,-0.002486767480149865,-0.0014416632475331426,-0.0044548301957547665,0.000654184608720243,-0.005535317584872246,-0.003377575660124421,-0.020890425890684128,0.0022897524759173393,-0.024752380326390266,-0.016995804384350777,-0.02464546635746956,0.003790866117924452,-0.030749883502721786,-0.018286559730768204,orange,DR-Learner,13.25,3569
