x,CausalPFN,S-Learner,T-Learner,X-Learner,DR-Learner
0.0,0.0,0.0,0.0,0.0,0.0
0.0010416666666666667,0.00023422860712054967,-3.9038101186758274e-05,7.807620237351655e-05,7.807620237351655e-05,0.0005465334166146158
0.00109375,0.00023422860712054967,-4.879762648344784e-05,6.246096189881323e-05,5.855715178013742e-05,0.0005465334166146158
0.0011458333333333333,0.00023422860712054967,1.9519050593379137e-05,-0.00010410160316468871,0.00011711430356027483,0.0005465334166146158
0.0011979166666666668,0.00023422860712054967,8.783572767020612e-05,-4.461497278486658e-05,0.00017567145534041223,0.0005465334166146158
0.00125,0.00023422860712054967,7.807620237351655e-05,1.115374319621668e-05,0.0001561524047470331,0.0005465334166146158
0.0013020833333333335,0.00023422860712054967,0.00014639287945034354,6.692245917729987e-05,0.00013663335415365396,0.0005465334166146158
0.0013541666666666667,0.00023422860712054967,0.00013663335415365396,0.00011711430356027483,0.00011711430356027483,0.0005465334166146158
0.0014062500000000002,0.00023422860712054967,0.0001561524047470331,0.0,-0.00014053716427232986,9.759525296689568e-05
0.0014583333333333334,3.9038101186758274e-05,0.00022555347352349225,4.684572142410991e-05,-9.369144284821981e-05,7.807620237351655e-05
0.0015104166666666669,2.927857589006871e-05,0.00024203622735790133,-4.2587019476463605e-05,2.602540079117216e-05,5.855715178013742e-05
0.0015625,5.2050801582344356e-05,0.00023422860712054967,-7.097836579410597e-05,0.0,3.9038101186758274e-05
0.0016145833333333335,7.026858213616489e-05,0.00022642098688319798,-9.936971211174832e-05,-2.602540079117223e-05,1.9519050593379137e-05
0.0016666666666666668,6.246096189881323e-05,0.00024132644369996025,-0.00012776105842939075,2.602540079117223e-05,-0.000296689569019363
0.00171875,7.807620237351655e-05,0.00023422860712054967,-7.807620237351655e-05,0.0,-0.0001561524047470331
0.0017708333333333335,9.108890276910264e-05,0.0003052069729146556,-0.00010410160316468871,-2.602540079117223e-05,-5.5768715981083265e-05
0.0018229166666666667,8.458255257130959e-05,0.00029810913633524503,-0.00013012700395586093,-5.205080158234432e-05,1.9519050593379137e-05
0.0018750000000000001,7.807620237351655e-05,0.0002910112997558344,-8.408206409455627e-05,-7.807620237351655e-05,0.0
0.0019270833333333334,7.156985217572349e-05,0.00014313970435144699,-4.461497278486658e-05,-0.0003011510662978496,6.072593517940176e-05
0.001979166666666667,8.408206409455628e-05,0.00016816412818911256,1.115374319621668e-05,-0.0003346122958864996,0.0001093066833229232
0.00203125,9.480681716784152e-05,0.00018961363433568304,-1.115374319621668e-05,-0.00028999732310163286,9.369144284821988e-05
0.0020833333333333333,0.00016730614794324976,0.00020820320632937745,2.602540079117216e-05,-0.0001561524047470331,7.807620237351655e-05
0.002135416666666667,0.00017697272537997084,0.00019779304601290858,5.855715178013742e-05,-0.00018543098063710181,6.246096189881323e-05
0.0021875,0.00017176764522173642,0.0001873828856964397,3.9038101186758274e-05,-0.0003643556110764105,4.684572142410991e-05
0.0022395833333333334,0.00016656256506350197,0.00017697272537997084,6.88907668001617e-05,-0.0002498438475952529,3.123048094940665e-05
0.0022916666666666667,0.00016135748490526752,0.00024463876743701854,-1.7350267194114797e-05,-0.00028107432854465955,7.807620237351655e-05
0.0023437500000000003,0.00017079169269206747,0.0002635071830106184,-3.9038101186758274e-05,-0.0003123048094940662,6.388052921469537e-05
0.0023958333333333336,0.00017911599368042032,0.00033182386008744535,-8.218547618264857e-06,-0.00034353529044347283,4.968485605587419e-05
0.002447916666666667,0.00018651537233673398,0.00032206433479075577,-8.588382261086832e-05,-0.0002413264436999603,3.548918289705295e-05
0.0025,0.00018217780553820526,0.00039038101186758274,-0.00010930668332292307,-0.00039038101186758274,2.129350973823177e-05
0.0025520833333333333,0.0001890265952200927,0.00045869768894440976,-0.0001327295440349781,-0.00042291276285654806,-0.00017567145534041223
0.002604166666666667,0.00018491732141096023,0.00047764264981445416,-0.00010038368876594977,-0.0004554445138455131,-0.00019519050593379137
0.00265625,0.00019128669581511558,0.00035134291068082446,-0.00012269117515838313,-0.00048797626483447845,-0.0002147095565271705
0.0027083333333333334,0.0001970494631331608,0.00033833021028523846,-0.00014499866155081648,-0.0005205080158234437,-0.00039038101186758274
0.0027604166666666667,9.227187553233774e-05,0.0004033937122631689,-0.00011356538527056957,-0.0005530397668124088,-0.0003234585526902828
0.0028125000000000003,0.00010183852483502159,0.00042736447614977484,-0.00013485889500880127,-0.00045043962907798004,-0.0002654590880699563
0.0028645833333333336,0.00011060795336248177,0.00041503665472237747,-0.0001561524047470331,-0.0004804689376831787,-0.00020820320632937742
0.002916666666666667,0.00011867582760774516,0.00043722673329169264,-0.00012560084729652655,-0.00043242204391486075,-0.00022902352696231525
0.00296875,0.00011242973141786383,0.00042551530293566517,-6.789234989001442e-05,-0.00034018916748460785,-0.0002498438475952529
0.0030208333333333337,0.00012011723442079468,0.000446149727848666,-3.9038101186758274e-05,-0.0003680735254751494,-0.00019258796585467416
0.003072916666666667,0.00011411137269975497,0.00043499598465244934,-1.249219237976266e-05,-0.00028627940870289397,-0.0001353320841140953
0.003125,0.00012145187035880352,0.0004542615410822781,-9.008792581559597e-05,-0.0002147095565271705,-0.0001561524047470331
0.0031770833333333334,0.00011566844796076526,0.0005216909885866788,-3.303223946571856e-05,-0.00023910836976889443,-0.000317184572142411
0.003229166666666667,0.00010988502556272701,0.0005397441816256144,2.402344688415899e-05,-0.00018543098063710181,-0.00045927177866774446
0.0032812500000000003,0.00010410160316468875,0.0005295603291421122,8.107913323403641e-05,-0.00020982979387882574,-0.00039038101186758274
0.0033333333333333335,9.831818076665046e-05,0.0005193764766586101,6.0058617210397415e-05,-0.00023422860712054967,-0.0003287419047305959
0.0033854166666666668,0.00010596056036405818,0.0005367738913179263,8.964304716959312e-05,-0.0001653378403203881,-0.00035339754758539075
0.0034375,0.00011307587929957568,0.0005270143660212368,0.00014747727114997573,-0.00011022522688025869,-0.0004762648344784508
0.0034895833333333337,0.00010769131361864353,0.0005172548407245471,0.00017567145534041223,-0.00013318881581364595,-0.0005035915053091817
0.003541666666666667,0.00010230674793771134,0.0005074953154278576,0.0002019212130349566,-6.940106877645919e-05,-0.00044243181344992723
0.00359375,9.692218225677916e-05,0.000497735790131168,0.00018307523315169401,-1.2327821427397423e-05,-0.00039038101186758274
0.0036458333333333334,0.00010410160316468875,0.0005153029356652092,0.0001642292532684314,-3.287419047305956e-05,-0.0004164064126587551
